oblast,raion,hromada,level,started_at,finished_at
Volynska oblast,,,oblast,2022-03-16 14:03:44+00:00,2022-03-16 14:33:55+00:00
Ternopilska oblast,,,oblast,2022-03-16 14:07:10+00:00,2022-03-16 14:40:01+00:00
Khmelnytska oblast,,,oblast,2022-03-16 14:18:18+00:00,2022-03-16 14:28:11+00:00
Dnipropetrovska oblast,Synelnykivskyi raion,m. Pershotravensk ta Pershotravenska terytorialna hromada,hromada,2022-03-16 14:39:17+00:00,2022-03-16 15:22:27+00:00
Kharkivska oblast,Iziumskyi raion,,raion,2022-03-16 14:50:18+00:00,2022-03-16 15:41:33+00:00
Kharkivska oblast,Kharkivskyi raion,,raion,2022-03-16 14:50:23+00:00,2022-03-16 15:41:29+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-16 14:51:00+00:00,2022-03-16 15:08:10+00:00
Zhytomyrska oblast,,,oblast,2022-03-16 15:32:50+00:00,2022-03-16 17:23:53+00:00
Kyivska oblast,Buchanskyi raion,Makarivska terytorialna hromada,hromada,2022-03-16 15:35:56+00:00,2022-03-16 21:05:03+00:00
Kyiv City,,,oblast,2022-03-16 15:47:13+00:00,2022-03-16 17:24:46+00:00
Vinnytska oblast,,,oblast,2022-03-16 15:49:07+00:00,2022-03-16 16:10:31+00:00
Cherkaska oblast,Umanskyi raion,Zhashkivska terytorialna hromada,hromada,2022-03-16 15:51:11+00:00,2022-03-16 17:23:52+00:00
Kyivska oblast,Bilotserkivskyi raion,m. Bila Tserkva ta Bilotserkivska terytorialna hromada,hromada,2022-03-16 15:52:35+00:00,2022-03-16 21:04:53+00:00
Poltavska oblast,Myrhorodskyi raion,Bilotserkivska terytorialna hromada,hromada,2022-03-16 15:52:35+00:00,2022-03-16 21:04:53+00:00
Dnipropetrovska oblast,Synelnykivskyi raion,Vasylkivska terytorialna hromada,hromada,2022-03-16 15:52:48+00:00,2022-03-16 21:05:09+00:00
Kyivska oblast,Obukhivskyi raion,m. Vasylkiv ta Vasylkivska terytorialna hromada,hromada,2022-03-16 15:52:48+00:00,2022-03-16 21:05:09+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-16 16:12:13+00:00,2022-03-16 16:33:13+00:00
Cherkaska oblast,Umanskyi raion,Umanska terytorialna hromada,hromada,2022-03-16 17:12:51+00:00,2022-03-16 17:23:57+00:00
Kyivska oblast,Boryspilskyi raion,m. Boryspil ta Boryspilska terytorialna hromada,hromada,2022-03-16 17:19:16+00:00,2022-03-16 21:05:24+00:00
Kyivska oblast,Brovarskyi raion,m. Brovary ta Brovarska terytorialna hromada,hromada,2022-03-16 17:19:20+00:00,2022-03-16 21:05:30+00:00
Zhytomyrska oblast,,,oblast,2022-03-16 17:33:10+00:00,2022-03-16 17:57:23+00:00
Rivnenska oblast,Varaskyi raion,,raion,2022-03-16 17:41:18+00:00,2022-03-16 17:57:58+00:00
Rivnenska oblast,Sarnenskyi raion,,raion,2022-03-16 17:41:25+00:00,2022-03-16 17:57:54+00:00
Poltavska oblast,Lubenskyi raion,m. Pyriatyn ta Pyriatynska terytorialna hromada,hromada,2022-03-16 17:41:38+00:00,2022-03-17 02:11:12+00:00
Rivnenska oblast,Sarnenskyi raion,Dubrovytska terytorialna hromada,hromada,2022-03-16 17:46:43+00:00,2022-03-16 17:57:47+00:00
Khmelnytska oblast,Khmelnytskyi raion,m. Starokostiantyniv ta Starokostiantynivska terytorialna hromada,hromada,2022-03-16 18:22:16+00:00,2022-03-16 18:30:27+00:00
Sumska oblast,Sumskyi raion,,raion,2022-03-16 19:15:23+00:00,2022-03-16 20:38:02+00:00
Sumska oblast,Okhtyrskyi raion,,raion,2022-03-16 19:15:32+00:00,2022-03-16 20:38:15+00:00
Sumska oblast,Sumskyi raion,m. Sumy ta Sumska terytorialna hromada,hromada,2022-03-16 19:15:38+00:00,2022-03-16 20:37:49+00:00
Kharkivska oblast,,,oblast,2022-03-16 19:50:31+00:00,2022-03-16 21:49:08+00:00
Khmelnytska oblast,Khmelnytskyi raion,m. Starokostiantyniv ta Starokostiantynivska terytorialna hromada,hromada,2022-03-16 20:04:06+00:00,2022-03-16 20:37:24+00:00
Rivnenska oblast,,,oblast,2022-03-16 20:04:53+00:00,2022-03-16 20:34:20+00:00
Ternopilska oblast,,,oblast,2022-03-16 20:06:48+00:00,2022-03-16 20:38:41+00:00
Volynska oblast,,,oblast,2022-03-16 20:07:09+00:00,2022-03-16 20:36:09+00:00
Zhytomyrska oblast,,,oblast,2022-03-16 20:21:09+00:00,2022-03-16 21:01:16+00:00
Kyiv City,,,oblast,2022-03-16 20:31:22+00:00,2022-03-16 21:00:11+00:00
Kirovohradska oblast,Kropyvnytskyi raion,,raion,2022-03-16 20:35:48+00:00,2022-03-16 21:01:29+00:00
Dnipropetrovska oblast,,,oblast,2022-03-16 20:36:05+00:00,2022-03-16 21:15:40+00:00
Kyivska oblast,,,oblast,2022-03-16 20:36:23+00:00,2022-03-16 21:04:41+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-16 20:36:38+00:00,2022-03-16 21:17:03+00:00
Sumska oblast,Konotopskyi raion,m. Konotop ta Konotopska terytorialna hromada,hromada,2022-03-16 20:38:36+00:00,2022-03-16 21:07:49+00:00
Zaporizka oblast,,,oblast,2022-03-16 20:42:47+00:00,2022-03-16 21:15:55+00:00
Dnipropetrovska oblast,Kryvorizkyi raion,m. Kryvyi Rih ta Kryvorizka terytorialna hromada,hromada,2022-03-16 21:21:22+00:00,2022-03-16 21:47:58+00:00
Kirovohradska oblast,Kropyvnytskyi raion,,raion,2022-03-16 21:22:15+00:00,2022-03-16 22:21:50+00:00
Zhytomyrska oblast,Zhytomyrskyi raion,,raion,2022-03-16 21:26:04+00:00,2022-03-16 22:00:58+00:00
Kyiv City,,,oblast,2022-03-16 21:43:17+00:00,2022-03-16 22:21:03+00:00
Sumska oblast,Sumskyi raion,,raion,2022-03-16 23:10:32+00:00,2022-03-17 00:05:02+00:00
Sumska oblast,Sumskyi raion,m. Sumy ta Sumska terytorialna hromada,hromada,2022-03-16 23:11:18+00:00,2022-03-17 00:04:52+00:00
Kharkivska oblast,,,oblast,2022-03-16 23:13:18+00:00,2022-03-16 23:37:14+00:00
Kyiv City,,,oblast,2022-03-17 01:21:29+00:00,2022-03-17 03:09:54+00:00
Zhytomyrska oblast,,,oblast,2022-03-17 01:22:25+00:00,2022-03-17 03:10:34+00:00
Cherkaska oblast,,,oblast,2022-03-17 01:33:50+00:00,2022-03-17 03:10:31+00:00
Vinnytska oblast,,,oblast,2022-03-17 02:00:34+00:00,2022-03-17 02:50:11+00:00
Ivano-Frankivska oblast,,,oblast,2022-03-17 02:14:05+00:00,2022-03-17 03:12:06+00:00
Khmelnytska oblast,,,oblast,2022-03-17 02:14:37+00:00,2022-03-17 03:10:17+00:00
Rivnenska oblast,,,oblast,2022-03-17 02:15:29+00:00,2022-03-17 02:48:51+00:00
Volynska oblast,,,oblast,2022-03-17 02:16:43+00:00,2022-03-17 02:48:00+00:00
Lvivska oblast,,,oblast,2022-03-17 02:16:46+00:00,2022-03-17 02:53:45+00:00
Chernivetska oblast,,,oblast,2022-03-17 02:19:43+00:00,2022-03-17 03:13:16+00:00
Ternopilska oblast,,,oblast,2022-03-17 02:19:47+00:00,2022-03-17 02:50:27+00:00
Zakarpatska oblast,,,oblast,2022-03-17 02:21:31+00:00,2022-03-17 03:12:58+00:00
Donetska oblast,Kramatorskyi raion,,raion,2022-03-17 03:38:07+00:00,2022-03-17 03:55:30+00:00
Dnipropetrovska oblast,Nikopolskyi raion,m. Nikopol ta Nikopolska terytorialna hromada,hromada,2022-03-17 03:52:11+00:00,2022-03-17 04:10:32+00:00
Zaporizka oblast,Zaporizkyi raion,m. Zaporizhzhia ta Zaporizka terytorialna hromada,hromada,2022-03-17 03:52:18+00:00,2022-03-17 04:08:47+00:00
Zhytomyrska oblast,,,oblast,2022-03-17 04:54:28+00:00,2022-03-17 05:09:57+00:00
Vinnytska oblast,,,oblast,2022-03-17 04:54:30+00:00,2022-03-17 05:08:50+00:00
Volynska oblast,,,oblast,2022-03-17 04:55:30+00:00,2022-03-17 05:12:08+00:00
Rivnenska oblast,,,oblast,2022-03-17 04:58:50+00:00,2022-03-17 05:10:30+00:00
Ternopilska oblast,,,oblast,2022-03-17 05:02:20+00:00,2022-03-17 05:17:05+00:00
Sumska oblast,Shostkynskyi raion,m. Shostka ta Shostkynska terytorialna hromada,hromada,2022-03-17 06:42:34+00:00,2022-03-17 06:53:57+00:00
Kharkivska oblast,,,oblast,2022-03-17 06:53:32+00:00,2022-03-17 08:00:29+00:00
Kyiv City,,,oblast,2022-03-17 08:19:05+00:00,2022-03-17 08:49:39+00:00
Sumska oblast,,,oblast,2022-03-17 08:23:26+00:00,2022-03-17 09:06:47+00:00
Kyivska oblast,,,oblast,2022-03-17 08:29:15+00:00,2022-03-17 08:57:39+00:00
Kyiv City,,,oblast,2022-03-17 09:06:00+00:00,2022-03-17 10:20:03+00:00
Dnipropetrovska oblast,Synelnykivskyi raion,Vasylkivska terytorialna hromada,hromada,2022-03-17 09:11:12+00:00,2022-03-17 11:52:17+00:00
Kyivska oblast,Obukhivskyi raion,m. Vasylkiv ta Vasylkivska terytorialna hromada,hromada,2022-03-17 09:11:12+00:00,2022-03-17 11:52:17+00:00
Vinnytska oblast,,,oblast,2022-03-17 09:14:21+00:00,2022-03-17 09:50:04+00:00
Zhytomyrska oblast,,,oblast,2022-03-17 09:15:22+00:00,2022-03-17 09:53:46+00:00
Cherkaska oblast,,,oblast,2022-03-17 09:16:09+00:00,2022-03-17 09:16:44+00:00
Kyivska oblast,,,oblast,2022-03-17 09:25:21+00:00,2022-03-17 11:52:12+00:00
Kharkivska oblast,,,oblast,2022-03-17 10:29:45+00:00,2022-03-17 10:34:27+00:00
Sumska oblast,Sumskyi raion,,raion,2022-03-17 10:37:54+00:00,2022-03-17 12:30:28+00:00
Sumska oblast,Sumskyi raion,m. Sumy ta Sumska terytorialna hromada,hromada,2022-03-17 10:38:04+00:00,2022-03-17 12:30:24+00:00
