region,started_at,finished_at,naive
Херсонська область,2022-02-28 22:31:01+00:00,2022-02-28 23:01:01+00:00,True
Київ,2022-03-01 00:29:23+00:00,2022-03-01 00:42:40+00:00,False
Вінницька область,2022-03-01 02:45:41+00:00,2022-03-01 03:31:16+00:00,False
Рівненська область,2022-03-01 03:15:46+00:00,2022-03-01 03:26:45+00:00,False
Волинська область,2022-03-01 03:19:37+00:00,2022-03-01 03:32:06+00:00,False
Тернопільська область,2022-03-01 03:20:07+00:00,2022-03-01 04:06:30+00:00,False
Кіровоградська область,2022-03-01 03:35:13+00:00,2022-03-01 03:52:44+00:00,False
Черкаська область,2022-03-01 03:35:50+00:00,2022-03-01 04:04:32+00:00,False
Київ,2022-03-01 05:02:14+00:00,2022-03-01 05:32:14+00:00,True
Одеська область,2022-03-01 05:29:11+00:00,2022-03-01 05:42:59+00:00,False
Чернігівська область,2022-03-01 05:41:18+00:00,2022-03-01 05:53:21+00:00,False
Харківська область,2022-03-01 06:12:06+00:00,2022-03-01 06:42:06+00:00,True
Полтавська область,2022-03-01 06:19:32+00:00,2022-03-01 07:16:35+00:00,False
Дніпропетровська область,2022-03-01 06:23:23+00:00,2022-03-01 06:49:21+00:00,False
Донецька область,2022-03-01 06:27:50+00:00,2022-03-01 06:57:50+00:00,True
Миколаївська область,2022-03-01 06:32:14+00:00,2022-03-01 07:02:14+00:00,True
Запорізька область,2022-03-01 06:44:34+00:00,2022-03-01 08:28:33+00:00,False
Київ,2022-03-01 06:54:42+00:00,2022-03-01 07:24:12+00:00,False
Черкаська область,2022-03-01 06:55:16+00:00,2022-03-01 07:25:16+00:00,True
Житомирська область,2022-03-01 06:57:24+00:00,2022-03-01 07:24:49+00:00,False
Одеська область,2022-03-01 06:57:42+00:00,2022-03-01 07:35:44+00:00,False
Донецька область,2022-03-01 07:12:50+00:00,2022-03-01 07:42:50+00:00,True
Чернігівська область,2022-03-01 07:13:00+00:00,2022-03-01 07:24:36+00:00,False
Київ,2022-03-01 07:29:18+00:00,2022-03-01 07:53:49+00:00,False
Кіровоградська область,2022-03-01 07:33:31+00:00,2022-03-01 08:09:55+00:00,False
Київська область,2022-03-01 07:38:17+00:00,2022-03-01 08:08:17+00:00,True
Черкаська область,2022-03-01 07:39:40+00:00,2022-03-01 08:17:46+00:00,False
Вінницька область,2022-03-01 07:44:31+00:00,2022-03-01 08:41:36+00:00,False
Волинська область,2022-03-01 08:01:45+00:00,2022-03-01 08:49:12+00:00,False
Дніпропетровська область,2022-03-01 08:06:18+00:00,2022-03-01 08:25:54+00:00,False
Чернігівська область,2022-03-01 08:09:37+00:00,2022-03-01 08:39:37+00:00,True
Черкаська область,2022-03-01 08:26:07+00:00,2022-03-01 09:00:06+00:00,False
Житомирська область,2022-03-01 08:30:57+00:00,2022-03-01 08:38:34+00:00,False
Кіровоградська область,2022-03-01 08:53:26+00:00,2022-03-01 09:23:26+00:00,True
Одеська область,2022-03-01 08:56:29+00:00,2022-03-01 09:07:07+00:00,False
Донецька область,2022-03-01 08:57:02+00:00,2022-03-01 09:05:40+00:00,False
Київ,2022-03-01 08:58:37+00:00,2022-03-01 09:20:41+00:00,False
Вінницька область,2022-03-01 08:58:57+00:00,2022-03-01 09:19:02+00:00,False
Чернігівська область,2022-03-01 09:02:43+00:00,2022-03-01 09:32:43+00:00,True
Житомирська область,2022-03-01 09:06:39+00:00,2022-03-01 09:24:43+00:00,False
Хмельницька область,2022-03-01 09:14:50+00:00,2022-03-01 09:28:19+00:00,False
Чернігівська область,2022-03-01 09:35:41+00:00,2022-03-01 10:14:28+00:00,False
Сумська область,2022-03-01 09:52:14+00:00,2022-03-01 10:22:14+00:00,True
Кіровоградська область,2022-03-01 09:54:49+00:00,2022-03-01 10:24:18+00:00,False
Вінницька область,2022-03-01 10:08:18+00:00,2022-03-01 10:36:00+00:00,False
Полтавська область,2022-03-01 10:08:28+00:00,2022-03-01 10:22:41+00:00,False
